source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223074,226694,Trinity Force,Manamune,Spear of Shojin,Ravenous Hydra,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,狂怒九頭蛇,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,667666,226694,Trinity Force,Manamune,Spear of Shojin,The Collector,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,蒐集者,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,323004,223078,223161,226694,223072,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,Bloodthirster,魔劍正宗,三相之力,精進之矛,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223072,223161,Trinity Force,Manamune,Serylda's Grudge,Bloodthirster,Spear of Shojin,三相之力,魔劍正宗,席利妲咒怨,嗜血者,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,223156,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Maw of Malmortius,三相之力,魔劍正宗,席利妲咒怨,精進之矛,魔提斯深淵
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,223161,323004,226694,223153,Trinity Force,Spear of Shojin,Manamune,Serylda's Grudge,Blade of The Ruined King,三相之力,精進之矛,魔劍正宗,席利妲咒怨,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,323004,223078,223161,226694,223074,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,Ravenous Hydra,魔劍正宗,三相之力,精進之矛,席利妲咒怨,狂怒九頭蛇
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223156,223072,Trinity Force,Manamune,Spear of Shojin,Maw of Malmortius,Bloodthirster,三相之力,魔劍正宗,精進之矛,魔提斯深淵,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,323004,223078,223161,226694,667666,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,The Collector,魔劍正宗,三相之力,精進之矛,席利妲咒怨,蒐集者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,323110,226694,Trinity Force,Manamune,Spear of Shojin,Frozen Heart,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,冰霜之心,席利妲咒怨
